"product_type","product_code","product_name","model_code","marketplace","external_code","external_url","listing_title","is_active"
"design","G_H00003","Slasher R5 - Graphics For Honda","HVEF","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","HWJC","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","KKGU","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","M2YM","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","NAXW","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","P8PS","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","PWFD","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","QH8Q","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","UNTY","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","VW9Q","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","Y7HD","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","YAD2","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","Z74K","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00003","Slasher R5 - Graphics For Honda","ZTS6","shoptet","","","Slasher R5 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","2FPZ","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","36RW","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","3Y8L","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","458B","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","4KB2","shoptet","","","Slasher R4 - Graphics For Honda","1"
